GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,ADQ001,AEL001,AEL002,AEL003,AEL004,AEL005,AEL006,AEL007,AEL008,AEL009,AEL010,AEL011,AEL012,AEL013,AEL014,AEL015,AEL016,AEL017,AEL018,AEL019,AEL020,AEL021,AEL022,AEL023,AEL024,AEL025,AEL026,AEL027,AEL028,AEL029,AEL030,AEL031,AEL032,AEL033,AEL034,AEL035,AEL036,AEL037,AEL038,AEL039,AEL040,AEL041,AEL042,AEL043,AEL044,AEL045,AEL046,AEL047,AEL048,AEL049,AEL050,AEL051,AEL052,AEL053,AEL054,AEL055,AEL056,AEL057,AEL058,AEL059,AEL060,AEL061,AEL062,AEL063,AEL064,AEL065,AEL066,AEL067,AEL068,AEL069,AEL070,AEL071,AEL072,AEL073,AEL074,AEL075,AEL076,AEL077,AEL078,AEL079,AEL080,AEL081,AEL082,AEL083,AEL084,AEL085,AEL086,AEL087,AEL088,AEL089,AEL090
"G010","1850","Alabama","010",,"Alabama",771623,6289,30241,34205,30145,24548,36360,24862,15976,9842,4544,1822,479,103,10,57,5927,28983,33485,29059,25215,35732,21057,13721,7843,3795,1580,490,84,19,41,20,143,160,147,115,142,89,95,63,43,18,13,5,3,0,29,143,144,154,127,226,131,98,61,36,31,13,10,5,1,3992,25471,25724,23190,18989,31658,19636,11433,6368,3774,1068,338,97,65,1,4118,25687,25671,22260,19871,31208,19514,11779,6030,3451,959,338,93,61,0
"G050","1850","Arkansas","050",,"Arkansas",209897,2817,12441,13476,11930,9059,15193,10043,6056,3041,1304,414,69,7,6,18,2655,11944,12912,11178,8990,13238,7420,4501,2186,902,278,82,13,4,12,6,42,35,37,24,43,39,41,20,12,12,3,0,0,0,5,39,31,36,43,37,31,23,22,15,9,1,2,0,0,540,3475,3480,3389,2745,4930,2528,1415,653,378,75,30,11,9,0,619,3573,3546,3179,2765,4684,2612,1421,580,339,88,24,6,5,1
"G060","1850","California","060",,"California",92597,148,840,1080,1134,4569,44770,21460,7536,2029,388,64,15,6,0,669,122,784,1011,813,877,1597,986,453,182,69,19,8,2,0,4,1,3,4,11,72,374,256,111,32,6,2,0,0,0,0,2,1,5,20,14,29,12,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G090","1850","Connecticut","090",,"Connecticut",370792,3851,16190,19292,19373,18527,35239,25078,17902,11845,7408,3698,1174,109,4,194,3649,15908,19052,18534,19486,35050,24251,18190,13436,8978,4754,1661,202,2,62,74,350,434,397,361,815,543,367,237,147,61,25,5,1,3,72,360,412,411,397,732,541,389,269,161,89,29,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G100","1850","Delaware","100",,"Delaware",91532,983,4191,5036,4581,3814,6354,4605,3106,1713,881,373,76,9,0,24,970,4120,4882,4342,3954,6335,4481,2948,1806,1005,440,109,15,2,14,271,1145,1391,1232,1033,1328,975,683,450,310,143,40,17,2,15,271,1140,1361,1146,971,1522,996,677,480,269,132,52,13,3,5,27,155,223,205,219,212,67,31,20,8,6,0,0,1,0,32,148,178,194,151,243,84,43,22,11,7,2,0,1,0
"G110","1850","District Of Columbia","110",,"District of Columbia",51687,493,2081,2451,2156,1829,3523,2679,1647,995,464,133,35,5,0,3,505,1964,2466,2235,2220,3950,2599,1633,1056,537,208,52,8,0,14,125,523,657,534,394,672,531,367,256,115,52,20,2,0,0,125,511,662,614,637,1156,763,606,353,203,97,67,11,5,1,30,165,208,239,207,239,127,91,55,44,12,4,1,0,0,41,184,287,341,319,425,245,182,129,70,29,8,3,2,0
"G120","1850","Florida","120",,"Florida",87445,651,3365,3811,3077,2338,4778,3558,2076,1269,544,188,40,5,1,4,646,3139,3647,2812,2412,3727,2347,1410,810,376,125,37,8,1,1,9,55,70,62,36,58,44,29,16,20,7,6,2,4,0,16,54,89,55,44,64,71,47,27,23,11,8,4,1,0,463,2840,2889,2507,1974,3878,2277,1344,895,474,141,45,22,15,40,451,2918,2874,2442,2087,3681,2312,1340,798,397,126,45,21,14,0
"G130","1850","Georgia","130",,"Georgia",906185,7894,37844,42642,37075,28497,44873,28062,18830,10891,6202,2447,725,119,28,104,7271,35698,41118,35674,30085,43527,25534,17403,10125,5508,2329,797,149,27,94,44,178,221,203,147,193,131,97,62,44,35,8,9,2,1,30,165,202,180,171,287,179,96,99,67,44,18,14,4,0,4730,27984,28941,26834,21865,33959,19146,12100,6584,4585,1399,480,142,81,27,4889,28070,28711,26749,23072,34590,20427,13006,6560,4544,1430,519,162,79,17
"G170","1850","Illinois","170",,"Illinois",851470,13546,58383,66392,58559,46959,79465,57178,34389,19119,7969,2527,504,55,10,489,12995,56436,63513,54301,45739,70579,45248,27683,14709,6441,2050,434,54,5,303,75,331,376,312,285,551,353,216,171,64,27,9,5,1,1,65,329,371,343,292,533,277,198,124,74,34,11,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G180","1850","Indiana","180",,"Indiana",988416,16344,68294,79563,68240,55477,86785,57445,35213,23538,10395,3672,871,144,18,179,15636,65613,76369,64447,55196,80349,49853,32010,18501,8846,3091,796,129,8,132,161,772,867,823,627,903,561,400,346,166,57,16,7,0,9,155,737,915,765,625,981,560,371,217,124,52,16,9,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G190","1850","Iowa","190",,"Iowa",192214,3141,14302,15864,13172,9961,16702,13613,7784,4115,1631,463,97,15,0,27,2952,13850,15095,12137,10134,15646,10451,5968,3026,1261,369,68,9,1,27,3,18,29,17,18,35,24,14,6,1,0,0,0,0,0,3,21,28,20,17,37,17,12,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G210","1850","Kentucky","210",,"Kentucky",982405,12035,52441,59604,51610,42115,69673,45345,28587,16995,8904,3994,1188,177,28,108,11528,50140,57315,49454,42801,64506,38672,25376,15142,8616,3620,1156,180,31,72,101,545,673,501,396,634,492,460,458,335,178,62,18,6,4,141,530,648,539,459,749,554,489,440,334,156,68,25,11,5,3023,14952,16761,15602,12370,19031,10325,6520,3744,1819,621,198,61,28,8,3245,15311,16828,15203,12695,17627,10422,7156,3985,2123,913,255,94,53,8
"G220","1850","Louisiana","220",,"Louisianna",517762,3467,15380,16931,14103,10620,30729,27451,13829,5639,2055,621,126,30,9,253,3421,14907,16274,13857,12498,24569,15054,7529,3657,1678,573,149,29,12,41,191,910,1188,1059,704,1147,900,678,370,172,87,35,11,11,16,213,931,1182,1034,998,1761,1474,975,683,420,156,87,45,21,3,2349,14260,14874,13865,11151,26047,20250,12690,5955,3032,937,319,81,57,7,2591,14814,15009,13410,11799,23971,18415,10550,4864,2388,771,225,59,66,3
"G230","1850","Maine","230",,"Maine",583169,7041,31497,37705,36408,33452,51456,35935,27436,17644,10493,5224,1683,149,9,613,6915,30161,36590,35188,33439,48279,33606,25802,17460,10230,5247,1760,180,4,207,26,64,83,83,69,133,105,69,43,29,11,8,3,0,0,13,59,75,64,65,127,85,48,47,30,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G240","1850","Maryland","240",,"Maryland",583034,6059,24309,27558,25307,20767,40164,29460,18740,10647,5429,2161,508,63,7,8,5962,24037,27016,24608,22461,38173,26685,17414,10802,6088,2631,749,114,10,6,1017,4422,4950,4516,3396,5437,4344,3030,2104,1242,503,175,45,11,0,998,4502,5131,4582,4015,6816,5273,3625,2252,1334,605,239,110,48,1,1243,5961,6902,6963,5643,8092,4269,2953,1926,1187,549,190,41,24,1,1203,5931,6712,6400,5466,7443,4500,2931,1850,1175,510,196,74,31,2
"G250","1850","Massachusetts","250",,"Massachusetts",994514,11527,45460,51148,49129,48868,101306,72540,47696,28340,16743,7784,2335,197,4,1016,11466,44544,50697,48034,56044,107856,70002,47612,31293,19807,10003,3420,393,9,177,85,409,459,428,381,944,704,472,284,129,61,29,7,3,29,114,440,493,433,448,891,685,486,337,158,88,36,16,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G260","1850","Michigan","260",,"Michigan",397654,5462,25016,30384,25491,21216,36186,28120,19412,10356,4804,1593,317,42,5,61,5362,23775,28847,24040,21238,32491,23032,14809,7712,3775,1200,239,25,2,59,39,177,176,133,105,281,252,146,78,30,10,1,0,1,2,35,175,169,122,104,243,148,76,40,22,13,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G275","1850","Minnesota Territory","275",,"Minnesota Territory",6077,66,388,363,299,225,1154,720,290,129,39,17,3,2,0,0,102,363,356,263,231,565,251,131,53,23,3,2,0,0,0,0,0,0,3,4,7,4,3,0,0,0,0,0,0,0,0,0,2,3,2,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
